Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,,,,,,,,,,,,,,,
0,0.303,/,,0,0.8195,/,,0,1.1978,/,,0,1.207,/,,0,0.5985,/,,0,0.5955,/,,0,0.5975,/,,0,0.8993,/,,0,0.9011,/,,0,0.9009,/,,0,0.3249,/,,0,1.2024,/,,0,1.2035,/,,0,1.1989,/,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV
,,25.13333333,,,,,,,,,,,,,,,,,,40,0.9101,5.4,,40,0.9123,5.6,,40,1.2178,4.1,,40,1.2224,5.8,,40,1.2198,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41,0.9149,4.8,,41,0.9171,4.8,,41,1.2227,4.9,,41,1.2274,5,,41,1.2247,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,42,0.9198,4.9,,42,0.9222,5.1,,42,1.2277,5,,42,1.2325,5.1,,42,1.2297,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,43,0.9249,5.1,,43,0.927,4.8,,43,1.2326,4.9,,43,1.2375,5,,43,1.2346,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,44,0.9295,4.6,,44,0.9317,4.7,,44,1.238,5.4,,44,1.2429,5.4,,44,1.2396,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,45,0.9345,5,,45,0.9366,4.9,,45,1.2429,4.9,,45,1.248,5.1,,45,1.2446,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,46,0.9395,5,,46,0.9416,5,,46,1.248,5.1,,46,1.2531,5.1,,46,1.2496,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,47,0.9445,5,,47,0.9464,4.8,,47,1.2531,5.1,,47,1.2582,5.1,,47,1.2546,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,48,0.9492,4.7,,48,0.9513,4.9,,48,1.2579,4.8,,48,1.2632,5,,48,1.2595,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,49,0.9539,4.7,,49,0.9561,4.8,,49,1.2628,4.9,,49,1.2682,5,,49,1.2645,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
